symbolSize,value,draggable,category,label
198.5,376,False,阿凡提,{'normal': {'show': 'True'}}
37.5,68,False,ocean,{'normal': {'show': 'True'}}
211.5,392,False,小麻,{'normal': {'show': 'True'}}
263.5,514,False,游侠,{'normal': {'show': 'True'}}
11.0,16,False,行龙,{'normal': {'show': 'True'}}
10.5,16,False,访客,{'normal': {'show': 'True'}}
168.5,319,False,锅巴,{'normal': {'show': 'True'}}
326.0,629,False,雪饼,{'normal': {'show': 'True'}}
492.5,957,False,ian,{'normal': {'show': 'True'}}
117.5,221,False,幺幺仔,{'normal': {'show': 'True'}}
177.0,341,False,kcu,{'normal': {'show': 'True'}}
34.0,57,False,小颖,{'normal': {'show': 'True'}}
142.0,274,False,prince,{'normal': {'show': 'True'}}
56.0,107,False,萝卜,{'normal': {'show': 'True'}}
106.0,200,False,阿紫,{'normal': {'show': 'True'}}
112.0,216,False,玥明,{'normal': {'show': 'True'}}
27.0,42,False,端粒·跑的快,{'normal': {'show': 'True'}}
128.5,245,False,无声,{'normal': {'show': 'True'}}
49.5,91,False,寒号鸟,{'normal': {'show': 'True'}}
73.0,138,False,天空,{'normal': {'show': 'True'}}
327.5,632,False,harryCASI,{'normal': {'show': 'True'}}
25.0,44,False,阿布都,{'normal': {'show': 'True'}}
199.0,390,False,紫龙,{'normal': {'show': 'True'}}
268.5,514,False,兔子雷,{'normal': {'show': 'True'}}
17.0,26,False,Moon,{'normal': {'show': 'True'}}
11.5,18,False,霁雨,{'normal': {'show': 'True'}}
136.0,261,False,草鱼,{'normal': {'show': 'True'}}
168.5,325,False,沙欧,{'normal': {'show': 'True'}}
13.5,21,False,冰点,{'normal': {'show': 'True'}}
189.0,362,False,萱萱,{'normal': {'show': 'True'}}
32.5,59,False,阿仁,{'normal': {'show': 'True'}}
110.0,206,False,量力学,{'normal': {'show': 'True'}}
76.5,145,False,星狐,{'normal': {'show': 'True'}}
17.5,31,False,狂狼,{'normal': {'show': 'True'}}
33.5,60,False,dundun,{'normal': {'show': 'True'}}
29.0,53,False,端粒,{'normal': {'show': 'True'}}
148.0,272,False,小痴,{'normal': {'show': 'True'}}
22.0,31,False,我叫黄黄,{'normal': {'show': 'True'}}
42.5,66,False,solo,{'normal': {'show': 'True'}}
140.5,269,False,oil,{'normal': {'show': 'True'}}
58.5,101,False,蝈蝈儿,{'normal': {'show': 'True'}}
10.0,16,False,春江水暖,{'normal': {'show': 'True'}}
14.5,24,False,小强,{'normal': {'show': 'True'}}
196.0,366,False,布梨,{'normal': {'show': 'True'}}
25.5,42,False,hoho,{'normal': {'show': 'True'}}
189.5,368,False,xiaoE,{'normal': {'show': 'True'}}
12.0,18,False,小綦,{'normal': {'show': 'True'}}
19.5,33,False,嘻嘻,{'normal': {'show': 'True'}}
249.0,479,False,阿丑,{'normal': {'show': 'True'}}
65.5,123,False,飞人,{'normal': {'show': 'True'}}
68.0,129,False,飞飞,{'normal': {'show': 'True'}}
110.0,208,False,八月,{'normal': {'show': 'True'}}
70.5,135,False,玎玎,{'normal': {'show': 'True'}}
12.0,20,False,斑班,{'normal': {'show': 'True'}}
45.5,77,False,大乾,{'normal': {'show': 'True'}}
46.5,83,False,somewind,{'normal': {'show': 'True'}}
27.0,49,False,星辰咏者,{'normal': {'show': 'True'}}
54.5,103,False,雁南,{'normal': {'show': 'True'}}
11.5,19,False,加菲,{'normal': {'show': 'True'}}
37.5,67,False,以熏,{'normal': {'show': 'True'}}
11.0,18,False,dummy,{'normal': {'show': 'True'}}
10.5,16,False,sndww,{'normal': {'show': 'True'}}
20.0,32,False,瓦尼天鹅,{'normal': {'show': 'True'}}
90.0,165,False,carrot,{'normal': {'show': 'True'}}
348.0,662,False,小李子,{'normal': {'show': 'True'}}
84.0,159,False,冬京,{'normal': {'show': 'True'}}
109.0,212,False,螺号,{'normal': {'show': 'True'}}
783.5,1486,False,甘道夫,{'normal': {'show': 'True'}}
141.0,272,False,瓜牛,{'normal': {'show': 'True'}}
30.5,54,False,木子山石,{'normal': {'show': 'True'}}
42.5,78,False,沙漠逗猴,{'normal': {'show': 'True'}}
259.5,491,False,狼,{'normal': {'show': 'True'}}
253.0,467,False,小飞,{'normal': {'show': 'True'}}
125.0,227,False,680,{'normal': {'show': 'True'}}
59.5,113,False,圈　圈,{'normal': {'show': 'True'}}
24.5,44,False,丸子,{'normal': {'show': 'True'}}
17.0,27,False,水风轻,{'normal': {'show': 'True'}}
17.0,29,False,铂金,{'normal': {'show': 'True'}}
99.0,186,False,潇潇,{'normal': {'show': 'True'}}
26.0,45,False,wheel,{'normal': {'show': 'True'}}
11.5,17,False,阿标,{'normal': {'show': 'True'}}
11.0,16,False,砂锅,{'normal': {'show': 'True'}}
22.0,38,False,绿林飞哥,{'normal': {'show': 'True'}}
15.5,26,False,阿蒙,{'normal': {'show': 'True'}}
22.0,39,False,chaoson,{'normal': {'show': 'True'}}
26.0,48,False,bobotree　,{'normal': {'show': 'True'}}
74.0,135,False,scartissue,{'normal': {'show': 'True'}}
12.0,19,False,南南北北,{'normal': {'show': 'True'}}
175.0,324,False,迅雷,{'normal': {'show': 'True'}}
91.5,173,False,龙须面,{'normal': {'show': 'True'}}
72.5,139,False,飞天猪,{'normal': {'show': 'True'}}
14.5,22,False,聪明勇敢的实践团,{'normal': {'show': 'True'}}
11.0,18,False,笑贝壳,{'normal': {'show': 'True'}}
51.0,89,False,herowangwei,{'normal': {'show': 'True'}}
92.5,164,False,可可,{'normal': {'show': 'True'}}
24.0,40,False,001,{'normal': {'show': 'True'}}
48.0,88,False,liusha,{'normal': {'show': 'True'}}
68.0,126,False,baidu,{'normal': {'show': 'True'}}
170.5,325,False,薯条,{'normal': {'show': 'True'}}
94.5,178,False,seaky,{'normal': {'show': 'True'}}
94.0,177,False,阿西莫夫,{'normal': {'show': 'True'}}
28.0,50,False,落翼,{'normal': {'show': 'True'}}
182.5,345,False,六猫,{'normal': {'show': 'True'}}
170.0,316,False,碧霄,{'normal': {'show': 'True'}}
234.0,456,False,铁流,{'normal': {'show': 'True'}}
11.0,17,False,AQI,{'normal': {'show': 'True'}}
62.0,112,False,牛仔,{'normal': {'show': 'True'}}
13.0,21,False,路在车下,{'normal': {'show': 'True'}}
12.5,19,False,purple,{'normal': {'show': 'True'}}
378.0,743,False,Godlike,{'normal': {'show': 'True'}}
90.0,156,False,阿漆,{'normal': {'show': 'True'}}
77.5,149,False,糖糖,{'normal': {'show': 'True'}}
45.0,80,False,保时捷,{'normal': {'show': 'True'}}
16.5,26,False,110,{'normal': {'show': 'True'}}
46.0,85,False,小胖,{'normal': {'show': 'True'}}
28.5,52,False,小彤,{'normal': {'show': 'True'}}
38.5,70,False,yellowdream,{'normal': {'show': 'True'}}
99.0,186,False,support,{'normal': {'show': 'True'}}
28.5,52,False,团员,{'normal': {'show': 'True'}}
11.0,17,False,Jek,{'normal': {'show': 'True'}}
54.0,66,False,牧羊,{'normal': {'show': 'True'}}
26.5,46,False,默鱼,{'normal': {'show': 'True'}}
34.5,59,False,扬抑,{'normal': {'show': 'True'}}
27.0,47,False,大鸟q,{'normal': {'show': 'True'}}
11.0,16,False,派克,{'normal': {'show': 'True'}}
57.0,106,False,小墨,{'normal': {'show': 'True'}}
31.0,54,False,飘飘,{'normal': {'show': 'True'}}
39.5,73,False,木马,{'normal': {'show': 'True'}}
22.0,40,False,prince非男,{'normal': {'show': 'True'}}
66.0,121,False,小白鼠,{'normal': {'show': 'True'}}
60.5,110,False,巴布,{'normal': {'show': 'True'}}
67.0,122,False,bosimao,{'normal': {'show': 'True'}}
143.5,274,False,赵老邪,{'normal': {'show': 'True'}}
205.5,379,False,添夏,{'normal': {'show': 'True'}}
140.0,273,False,木_头,{'normal': {'show': 'True'}}
35.5,65,False,axing,{'normal': {'show': 'True'}}
82.5,159,False,德er,{'normal': {'show': 'True'}}
11.5,19,False,猪尾巴,{'normal': {'show': 'True'}}
198.0,365,False,北曦,{'normal': {'show': 'True'}}
159.0,303,False,驽马,{'normal': {'show': 'True'}}
51.0,93,False,小飞侠,{'normal': {'show': 'True'}}
14.0,24,False,笨家,{'normal': {'show': 'True'}}
12.5,21,False,潇,{'normal': {'show': 'True'}}
26.5,45,False,雷,{'normal': {'show': 'True'}}
29.5,49,False,行者匡,{'normal': {'show': 'True'}}
49.5,91,False,胖鱼,{'normal': {'show': 'True'}}
