source,target,value
曙光,岛礁,6
曙光,咖啡少爷,5
曙光,xiaojun,36
曙光,枢辰,15
曙光,独行侠,4
曙光,海狸,11
曙光,兔子,72
曙光,飞轮,73
曙光,白薇,5
曙光,骆驼,73
曙光,毛毛虫,2
曙光,薛金段玉,71
曙光,liyou,125
曙光,葫芦,184
曙光,长弓雨晨,44
曙光,继缘,88
曙光,屠夫,306
曙光,f.s.s.,264
曙光,死不了,15
薛金段玉,继缘,95
薛金段玉,岛礁,276
薛金段玉,枢辰,9
薛金段玉,屠夫,144
薛金段玉,光头飞车,59
薛金段玉,樱木,100
薛金段玉,大力,301
liyou,风,76
liyou,继缘,223
liyou,毛毛虫,7
liyou,xiaojun,108
正琛,继缘,226
正琛,屠夫,84
正琛,海狸,25
正琛,xiaojun,94
大力,祥子,1580
大力,樱木,583
大力,屠夫,400
大力,xiaojun,8
大力,Ariel,24
大力,毛毛虫,4
大力,f.s.s.,500
大力,岛礁,64
大力,tanyueer,17
大力,大力,161
大力,金鱼,85
大力,咖啡少爷,94
大力,死不了,14
鱼,金鱼,6
鱼,xiaojun,2
鱼,毛毛虫,6
鱼,海狸,251
鱼,樱木,68
鱼,GABRIELLE,149
鱼,风,225
鱼,后现代,293
鱼,f.s.s.,68
鱼,光头飞车,36
风,樱木,229
风,咖啡少爷,13
风,bruce,64
风,风,1570
GABRIELLE,光头飞车,60
GABRIELLE,GABRIELLE,47
GABRIELLE,风也郎,79
GABRIELLE,风,2
七月,光头飞车,32
七月,屠夫,17
七月,starryday,45
七月,樱木,74
七月,GABRIELLE,310
光头飞车,屠夫,264
光头飞车,海狸,337
光头飞车,kuerten,19
光头飞车,阳光,405
光头飞车,枢辰,184
光头飞车,风,46
光头飞车,光头飞车,417
光头飞车,GABRIELLE,26
光头飞车,金鱼,251
光头飞车,黑鬼,93
海狸,阳光,372
海狸,海狸,7684
海狸,大力,161
海狸,樱木,195
海狸,风,367
海狸,才子,131
海狸,枢辰,3079
红姐姐,樱木,348
红姐姐,岛礁,107
红姐姐,bobo,222
红姐姐,咖啡少爷,51
红姐姐,麻瓜,46
红姐姐,金鱼,115
红姐姐,枢辰,6
红姐姐,cruelfox,76
红姐姐,死不了,53
红姐姐,继缘,297
红姐姐,乐乐,24
红姐姐,tanyueer,132
红姐姐,最幸福的前旗,29
红姐姐,短歌,21
红姐姐,原子,112
红姐姐,shui,75
红姐姐,f.s.s.,109
红姐姐,祥子,8
阿薰,energid,127
阿薰,f.s.s.,668
阿薰,阳光,156
starryday,谷子,245
starryday,李子,372
starryday,鱼,343
starryday,金鱼,738
starryday,cruelfox,298
starryday,岛礁,31
starryday,兔子,196
starryday,f.s.s.,488
金鱼,麻瓜,22
金鱼,光头飞车,8
金鱼,GABRIELLE,173
金鱼,shui,25
金鱼,阳光,1708
金鱼,stone,80
金鱼,正琛,303
金鱼,燃灯大法师,7
金鱼,time,2
金鱼,xiafeng,135
金鱼,风林火山,7
金鱼,默,22
金鱼,summer,19
金鱼,everest,16
金鱼,继缘,426
海海,everest,16
海海,惠龙,2
掌网人,goldsupper,521
掌网人,飞轮,1060
goldsupper,骆驼,406
goldsupper,飞轮,891
goldsupper,猫豆,1355
goldsupper,bobotree,2052
goldsupper,曙光,1514
goldsupper,cure,269
长弓雨晨,海狸,511
长弓雨晨,猫豆,874
长弓雨晨,然灯大法师,48
长弓雨晨,飞轮,625
长弓雨晨,xiaoyueer,298
长弓雨晨,光头飞车,327
长弓雨晨,樱桃花开,152
长弓雨晨,继缘,191
长弓雨晨,骆驼,172
长弓雨晨,西西,91
长弓雨晨,椰风,125
长弓雨晨,漂泊的叶,141
长弓雨晨,liyou,140
长弓雨晨,litboat,381
长弓雨晨,stone,144
长弓雨晨,惠龙,262
长弓雨晨,robber,683
小小,energid,42
小小,xiaojun,26
小小,jasal,36
小小,枢辰,119
小小,漂泊的叶,47
小小,骆驼,933
小小,短歌,31
小小,主席,52
小小,robber,80
小小,上帝,19
小小,谷子,42
小小,原子,347
小小,泡猪头,13
小小,薰衣草,246
小小,李子,12
小小,shui,152
小小,然灯大法师,105
小小,bobotree,64
小小,白薇,439
小小,凯文卡特,141
小小,三毛,55
小小,段子,148
小小,f.s.s.,288
小小,毛毛虫,98
小小,yang,86
小小,芋头,449
小小,ciwei,19
小小,咖啡少爷,895
小小,cruelfox,656
小小,阿风,26
小小,继缘,137
小小,金鱼,316
小小,葫芦,193
小小,moustach,349
小小,猫豆,725
小小,starryday,734
小小,樱木,19
小小,海狸,71
小小,光头飞车,3
小小,麻瓜,15
小小,大力,80
小小,阿弥陀佛,13
小小,海鸥,8
小小,鸽子,153
小小,兔子,522
小小,阿四,595
小小,牛魔王,96
小小,水晶,32
然灯大法师,风,15
然灯大法师,猫豆,408
然灯大法师,然灯大法师,161
然灯大法师,兔子,33
不行了,不行了,7567
不行了,ciwei,9
不行了,椰风,46
不行了,蓝眼猫,39
不行了,winddancer,32
不行了,掌网人,22
不行了,风,153
不行了,光头飞车,321
不行了,飞轮,249
枢辰,xiaoyueer,200
枢辰,然灯大法师,19
枢辰,凯文卡特,250
枢辰,海狸,78
枢辰,骆驼,315
